base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.12791, 1.01790, -1.44607, 0.12248, 0.91304, -1.45219, 0.24994, 0.90558, -1.67446, -0.20381, 0.95385, -1.69393
-0.12971, 1.01596, -1.45483, 0.12196, 0.91310, -1.45355, 0.25012, 0.90511, -1.67498, -0.20369, 0.95368, -1.69402
-0.13145, 1.01343, -1.46583, 0.12170, 0.91321, -1.45497, 0.25053, 0.90463, -1.67559, -0.20348, 0.95357, -1.69421
-0.13365, 1.01051, -1.47838, 0.12161, 0.91331, -1.45650, 0.25107, 0.90416, -1.67624, -0.20326, 0.95344, -1.69443
-0.13698, 1.00740, -1.49254, 0.12166, 0.91343, -1.45816, 0.25168, 0.90361, -1.67699, -0.20297, 0.95327, -1.69464
-0.14168, 1.00410, -1.50812, 0.12186, 0.91356, -1.45988, 0.25241, 0.90309, -1.67783, -0.20255, 0.95310, -1.69491
-0.14729, 1.00057, -1.52452, 0.12205, 0.91371, -1.46181, 0.25312, 0.90248, -1.67875, -0.20221, 0.95283, -1.69522
-0.15357, 0.99670, -1.54142, 0.12210, 0.91386, -1.46409, 0.25377, 0.90182, -1.67973, -0.20190, 0.95244, -1.69560
-0.16042, 0.99251, -1.55835, 0.12173, 0.91400, -1.46696, 0.25423, 0.90100, -1.68086, -0.20178, 0.95181, -1.69606
-0.16766, 0.98796, -1.57514, 0.12111, 0.91416, -1.47017, 0.25448, 0.90014, -1.68209, -0.20184, 0.95105, -1.69659
-0.17493, 0.98303, -1.59167, 0.12028, 0.91432, -1.47374, 0.25458, 0.89921, -1.68337, -0.20199, 0.95018, -1.69712
-0.18169, 0.97768, -1.60740, 0.11928, 0.91444, -1.47762, 0.25454, 0.89823, -1.68464, -0.20229, 0.94926, -1.69764
-0.18811, 0.97192, -1.62244, 0.11812, 0.91457, -1.48163, 0.25432, 0.89725, -1.68597, -0.20272, 0.94830, -1.69814
-0.19460, 0.96568, -1.63704, 0.11683, 0.91468, -1.48580, 0.25394, 0.89625, -1.68734, -0.20322, 0.94727, -1.69860
-0.20143, 0.95888, -1.65127, 0.11565, 0.91481, -1.48984, 0.25355, 0.89528, -1.68868, -0.20372, 0.94625, -1.69902
-0.20878, 0.95145, -1.66511, 0.11452, 0.91498, -1.49375, 0.25312, 0.89435, -1.69011, -0.20417, 0.94524, -1.69945
-0.21652, 0.94362, -1.67859, 0.11340, 0.91516, -1.49766, 0.25255, 0.89346, -1.69151, -0.20473, 0.94423, -1.69983
-0.22454, 0.93550, -1.69196, 0.11237, 0.91531, -1.50161, 0.25199, 0.89257, -1.69289, -0.20530, 0.94320, -1.70007
-0.23281, 0.92727, -1.70540, 0.11134, 0.91542, -1.50569, 0.25139, 0.89170, -1.69420, -0.20599, 0.94218, -1.70020
-0.24152, 0.91887, -1.71859, 0.11029, 0.91554, -1.50979, 0.25062, 0.89088, -1.69551, -0.20686, 0.94113, -1.70021
-0.25068, 0.91018, -1.73139, 0.10930, 0.91566, -1.51381, 0.24984, 0.89009, -1.69665, -0.20776, 0.94010, -1.70013
-0.26072, 0.90118, -1.74340, 0.10814, 0.91580, -1.51761, 0.24874, 0.88938, -1.69775, -0.20890, 0.93908, -1.69992
-0.27143, 0.89190, -1.75470, 0.10689, 0.91596, -1.52114, 0.24744, 0.88879, -1.69874, -0.21009, 0.93809, -1.69961
-0.28242, 0.88252, -1.76551, 0.10564, 0.91621, -1.52456, 0.24601, 0.88829, -1.69972, -0.21144, 0.93716, -1.69929
-0.29347, 0.87322, -1.77601, 0.10449, 0.91662, -1.52766, 0.24459, 0.88796, -1.70078, -0.21270, 0.93637, -1.69912
-0.30430, 0.86402, -1.78629, 0.10337, 0.91720, -1.53052, 0.24308, 0.88778, -1.70185, -0.21397, 0.93570, -1.69906
-0.31503, 0.85489, -1.79621, 0.10238, 0.91781, -1.53320, 0.24163, 0.88769, -1.70292, -0.21520, 0.93506, -1.69900
-0.32556, 0.84581, -1.80565, 0.10149, 0.91842, -1.53584, 0.24018, 0.88761, -1.70394, -0.21647, 0.93440, -1.69885
-0.33570, 0.83676, -1.81482, 0.10082, 0.91892, -1.53848, 0.23889, 0.88747, -1.70481, -0.21771, 0.93359, -1.69836
-0.34554, 0.82783, -1.82332, 0.10038, 0.91934, -1.54107, 0.23775, 0.88732, -1.70559, -0.21891, 0.93276, -1.69779
-0.35529, 0.81911, -1.83086, 0.09999, 0.91977, -1.54353, 0.23664, 0.88721, -1.70630, -0.22020, 0.93195, -1.69708
-0.36507, 0.81072, -1.83706, 0.09974, 0.92022, -1.54572, 0.23565, 0.88720, -1.70691, -0.22160, 0.93131, -1.69640
-0.37463, 0.80269, -1.84201, 0.09961, 0.92071, -1.54775, 0.23472, 0.88733, -1.70750, -0.22309, 0.93080, -1.69583
-0.38352, 0.79507, -1.84590, 0.09960, 0.92122, -1.54968, 0.23379, 0.88752, -1.70799, -0.22458, 0.93032, -1.69530
-0.39108, 0.78805, -1.84880, 0.09970, 0.92183, -1.55149, 0.23276, 0.88779, -1.70846, -0.22605, 0.92992, -1.69487
-0.39703, 0.78172, -1.85075, 0.09990, 0.92257, -1.55326, 0.23159, 0.88819, -1.70894, -0.22755, 0.92957, -1.69460
-0.40178, 0.77586, -1.85170, 0.10020, 0.92335, -1.55493, 0.23042, 0.88864, -1.70933, -0.22893, 0.92924, -1.69436
-0.40542, 0.77038, -1.85144, 0.10060, 0.92413, -1.55641, 0.22933, 0.88905, -1.70966, -0.23011, 0.92890, -1.69404
-0.40786, 0.76522, -1.84965, 0.10117, 0.92486, -1.55766, 0.22845, 0.88943, -1.70990, -0.23097, 0.92851, -1.69361
-0.40933, 0.76038, -1.84675, 0.10183, 0.92558, -1.55882, 0.22773, 0.88980, -1.71006, -0.23162, 0.92808, -1.69310
-0.40983, 0.75595, -1.84294, 0.10264, 0.92628, -1.55986, 0.22717, 0.89021, -1.71025, -0.23207, 0.92772, -1.69261
-0.40928, 0.75191, -1.83842, 0.10361, 0.92697, -1.56100, 0.22685, 0.89062, -1.71041, -0.23232, 0.92733, -1.69218
-0.40792, 0.74823, -1.83308, 0.10470, 0.92764, -1.56221, 0.22659, 0.89106, -1.71057, -0.23250, 0.92695, -1.69179
-0.40577, 0.74480, -1.82669, 0.10579, 0.92834, -1.56349, 0.22635, 0.89157, -1.71079, -0.23274, 0.92660, -1.69139
-0.40294, 0.74144, -1.81880, 0.10681, 0.92903, -1.56508, 0.22595, 0.89208, -1.71097, -0.23321, 0.92618, -1.69100
-0.39958, 0.73806, -1.80916, 0.10750, 0.92971, -1.56696, 0.22510, 0.89264, -1.71119, -0.23419, 0.92567, -1.69048
-0.39618, 0.73493, -1.79869, 0.10828, 0.93044, -1.56895, 0.22425, 0.89325, -1.71140, -0.23522, 0.92516, -1.69001
-0.39369, 0.73218, -1.78776, 0.10900, 0.93119, -1.57115, 0.22326, 0.89383, -1.71168, -0.23632, 0.92458, -1.68948
-0.39289, 0.73012, -1.77652, 0.10982, 0.93202, -1.57343, 0.22236, 0.89437, -1.71206, -0.23726, 0.92399, -1.68902
-0.39288, 0.72852, -1.76606, 0.11079, 0.93287, -1.57581, 0.22151, 0.89490, -1.71246, -0.23809, 0.92337, -1.68859
-0.39311, 0.72732, -1.75757, 0.11180, 0.93374, -1.57831, 0.22060, 0.89540, -1.71291, -0.23891, 0.92275, -1.68815
-0.39322, 0.72656, -1.75345, 0.11290, 0.93459, -1.58098, 0.21965, 0.89586, -1.71339, -0.23969, 0.92208, -1.68767
-0.39278, 0.72617, -1.75293, 0.11421, 0.93544, -1.58368, 0.21882, 0.89631, -1.71382, -0.24040, 0.92142, -1.68720
-0.39187, 0.72597, -1.75438, 0.11559, 0.93629, -1.58640, 0.21789, 0.89681, -1.71422, -0.24121, 0.92077, -1.68668
-0.38989, 0.72577, -1.75710, 0.11709, 0.93720, -1.58904, 0.21693, 0.89736, -1.71455, -0.24219, 0.92019, -1.68615
-0.38674, 0.72548, -1.76056, 0.11862, 0.93812, -1.59156, 0.21590, 0.89803, -1.71479, -0.24351, 0.91967, -1.68563
-0.38323, 0.72524, -1.76421, 0.12018, 0.93908, -1.59405, 0.21479, 0.89874, -1.71497, -0.24487, 0.91916, -1.68505
-0.37992, 0.72521, -1.76735, 0.12183, 0.94012, -1.59636, 0.21377, 0.89952, -1.71511, -0.24610, 0.91873, -1.68447
-0.37768, 0.72552, -1.76905, 0.12352, 0.94125, -1.59850, 0.21275, 0.90038, -1.71524, -0.24702, 0.91834, -1.68381
-0.37574, 0.72598, -1.77003, 0.12534, 0.94244, -1.60052, 0.21185, 0.90130, -1.71535, -0.24772, 0.91798, -1.68321
-0.37384, 0.72641, -1.77072, 0.12715, 0.94367, -1.60249, 0.21087, 0.90226, -1.71544, -0.24850, 0.91769, -1.68258
-0.37126, 0.72660, -1.77152, 0.12914, 0.94494, -1.60440, 0.21000, 0.90324, -1.71551, -0.24929, 0.91741, -1.68207
-0.36819, 0.72658, -1.77233, 0.13115, 0.94625, -1.60628, 0.20909, 0.90425, -1.71557, -0.25022, 0.91719, -1.68164
-0.36464, 0.72643, -1.77314, 0.13332, 0.94757, -1.60806, 0.20825, 0.90531, -1.71559, -0.25109, 0.91701, -1.68127
-0.36064, 0.72612, -1.77397, 0.13553, 0.94895, -1.60966, 0.20743, 0.90643, -1.71565, -0.25186, 0.91685, -1.68099
-0.35619, 0.72564, -1.77468, 0.13782, 0.95035, -1.61106, 0.20663, 0.90762, -1.71565, -0.25252, 0.91672, -1.68076
-0.35156, 0.72524, -1.77531, 0.14016, 0.95180, -1.61230, 0.20594, 0.90890, -1.71566, -0.25304, 0.91670, -1.68064
-0.34709, 0.72506, -1.77579, 0.14252, 0.95327, -1.61336, 0.20531, 0.91021, -1.71563, -0.25358, 0.91676, -1.68043
-0.34322, 0.72531, -1.77612, 0.14479, 0.95475, -1.61427, 0.20474, 0.91158, -1.71555, -0.25410, 0.91700, -1.68012
-0.33967, 0.72585, -1.77630, 0.14704, 0.95624, -1.61507, 0.20422, 0.91301, -1.71548, -0.25456, 0.91736, -1.67979
-0.33626, 0.72652, -1.77654, 0.14933, 0.95771, -1.61587, 0.20380, 0.91442, -1.71539, -0.25494, 0.91776, -1.67945
-0.33284, 0.72724, -1.77685, 0.15175, 0.95916, -1.61674, 0.20359, 0.91577, -1.71518, -0.25516, 0.91815, -1.67916
-0.32946, 0.72795, -1.77728, 0.15423, 0.96056, -1.61768, 0.20343, 0.91705, -1.71497, -0.25530, 0.91851, -1.67887
-0.32602, 0.72870, -1.77779, 0.15678, 0.96195, -1.61869, 0.20337, 0.91832, -1.71474, -0.25527, 0.91883, -1.67862
-0.32249, 0.72941, -1.77841, 0.15940, 0.96334, -1.61970, 0.20335, 0.91959, -1.71453, -0.25497, 0.91905, -1.67835
-0.31882, 0.73002, -1.77917, 0.16207, 0.96468, -1.62079, 0.20338, 0.92078, -1.71428, -0.25446, 0.91914, -1.67805
-0.31502, 0.73062, -1.77993, 0.16486, 0.96601, -1.62181, 0.20345, 0.92199, -1.71412, -0.25386, 0.91922, -1.67778
-0.31129, 0.73124, -1.78083, 0.16770, 0.96738, -1.62292, 0.20355, 0.92318, -1.71406, -0.25343, 0.91931, -1.67758
-0.30746, 0.73193, -1.78172, 0.17072, 0.96880, -1.62382, 0.20380, 0.92439, -1.71416, -0.25329, 0.91954, -1.67752
-0.30370, 0.73264, -1.78275, 0.17380, 0.97021, -1.62479, 0.20413, 0.92555, -1.71434, -0.25323, 0.91981, -1.67754
-0.29993, 0.73344, -1.78382, 0.17691, 0.97167, -1.62561, 0.20468, 0.92682, -1.71470, -0.25299, 0.92017, -1.67769
-0.29623, 0.73428, -1.78496, 0.18000, 0.97313, -1.62629, 0.20531, 0.92818, -1.71517, -0.25229, 0.92065, -1.67785
-0.29264, 0.73517, -1.78622, 0.18299, 0.97462, -1.62701, 0.20601, 0.92962, -1.71586, -0.25127, 0.92113, -1.67809
-0.28906, 0.73608, -1.78753, 0.18591, 0.97607, -1.62776, 0.20682, 0.93115, -1.71674, -0.25008, 0.92172, -1.67837
-0.28568, 0.73697, -1.78886, 0.18866, 0.97750, -1.62868, 0.20758, 0.93282, -1.71804, -0.24917, 0.92233, -1.67865
-0.28239, 0.73784, -1.79026, 0.19124, 0.97887, -1.62986, 0.20832, 0.93459, -1.71980, -0.24859, 0.92300, -1.67896
-0.27922, 0.73868, -1.79167, 0.19365, 0.98022, -1.63124, 0.20905, 0.93647, -1.72187, -0.24820, 0.92368, -1.67924
-0.27614, 0.73957, -1.79303, 0.19601, 0.98161, -1.63266, 0.20986, 0.93850, -1.72432, -0.24803, 0.92448, -1.67954
-0.27312, 0.74048, -1.79434, 0.19834, 0.98302, -1.63417, 0.21070, 0.94060, -1.72702, -0.24806, 0.92524, -1.67975
-0.27012, 0.74145, -1.79560, 0.20068, 0.98449, -1.63566, 0.21176, 0.94282, -1.73016, -0.24816, 0.92611, -1.68003
-0.26725, 0.74243, -1.79676, 0.20305, 0.98603, -1.63696, 0.21293, 0.94519, -1.73368, -0.24830, 0.92706, -1.68035
-0.26440, 0.74343, -1.79777, 0.20557, 0.98769, -1.63782, 0.21450, 0.94782, -1.73757, -0.24813, 0.92821, -1.68089
-0.26168, 0.74450, -1.79868, 0.20817, 0.98951, -1.63836, 0.21632, 0.95062, -1.74211, -0.24788, 0.92958, -1.68163
-0.25897, 0.74558, -1.79949, 0.21078, 0.99139, -1.63874, 0.21826, 0.95347, -1.74752, -0.24779, 0.93108, -1.68250
-0.25658, 0.74667, -1.80025, 0.21319, 0.99341, -1.63909, 0.22006, 0.95631, -1.75443, -0.24842, 0.93276, -1.68363
-0.25431, 0.74781, -1.80088, 0.21543, 0.99552, -1.63930, 0.22179, 0.95909, -1.76306, -0.24972, 0.93468, -1.68503
-0.25234, 0.74895, -1.80148, 0.21741, 0.99772, -1.63958, 0.22329, 0.96164, -1.77304, -0.25158, 0.93664, -1.68652
-0.25040, 0.75012, -1.80188, 0.21925, 0.99996, -1.63971, 0.22476, 0.96391, -1.78418, -0.25344, 0.93855, -1.68805
-0.24864, 0.75131, -1.80218, 0.22074, 1.00226, -1.63975, 0.22595, 0.96572, -1.79682, -0.25528, 0.94023, -1.68963
-0.24688, 0.75249, -1.80237, 0.22215, 1.00458, -1.63965, 0.22716, 0.96699, -1.81033, -0.25698, 0.94184, -1.69123
-0.24508, 0.75365, -1.80261, 0.22359, 1.00682, -1.63959, 0.22831, 0.96747, -1.82431, -0.25857, 0.94334, -1.69285
-0.24311, 0.75468, -1.80298, 0.22515, 1.00895, -1.63952, 0.22943, 0.96676, -1.83841, -0.25991, 0.94480, -1.69461
-0.24098, 0.75563, -1.80351, 0.22693, 1.01091, -1.63956, 0.23070, 0.96489, -1.85234, -0.26108, 0.94618, -1.69643
-0.23877, 0.75651, -1.80411, 0.22877, 1.01279, -1.63972, 0.23227, 0.96199, -1.86586, -0.26221, 0.94761, -1.69823
-0.23648, 0.75729, -1.80472, 0.23068, 1.01456, -1.64007, 0.23431, 0.95783, -1.87861, -0.26353, 0.94908, -1.69992
-0.23404, 0.75799, -1.80533, 0.23272, 1.01620, -1.64057, 0.23710, 0.95236, -1.89026, -0.26496, 0.95066, -1.70152
-0.23173, 0.75865, -1.80594, 0.23463, 1.01775, -1.64124, 0.24037, 0.94600, -1.90061, -0.26664, 0.95223, -1.70301
