base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.50780, 0.54648, -1.90595, 0.31765, 0.47636, -1.84649, 0.02134, 0.97545, -2.50397, -0.10541, 0.95515, -2.58139
-0.49590, 0.55864, -1.90803, 0.31313, 0.47746, -1.83389, 0.02765, 0.97762, -2.50210, -0.10507, 0.95688, -2.58153
-0.48324, 0.57190, -1.91113, 0.30912, 0.47881, -1.82104, 0.03409, 0.97975, -2.50071, -0.10384, 0.95875, -2.58141
-0.46989, 0.58605, -1.91503, 0.30544, 0.48056, -1.80823, 0.04032, 0.98191, -2.49955, -0.10216, 0.96071, -2.58094
-0.45580, 0.60100, -1.91959, 0.30232, 0.48292, -1.79548, 0.04629, 0.98413, -2.49868, -0.09983, 0.96273, -2.58006
-0.44116, 0.61678, -1.92482, 0.29952, 0.48593, -1.78299, 0.05153, 0.98642, -2.49817, -0.09713, 0.96487, -2.57865
-0.42587, 0.63319, -1.93022, 0.29687, 0.48951, -1.77085, 0.05627, 0.98885, -2.49773, -0.09456, 0.96707, -2.57707
-0.40967, 0.65029, -1.93524, 0.29424, 0.49373, -1.75906, 0.06045, 0.99152, -2.49727, -0.09253, 0.96929, -2.57562
-0.39238, 0.66827, -1.93942, 0.29119, 0.49857, -1.74778, 0.06369, 0.99465, -2.49670, -0.09188, 0.97151, -2.57467
-0.37460, 0.68670, -1.94294, 0.28812, 0.50409, -1.73699, 0.06636, 0.99798, -2.49607, -0.09183, 0.97374, -2.57386
-0.35660, 0.70525, -1.94589, 0.28538, 0.51033, -1.72641, 0.06883, 1.00132, -2.49537, -0.09190, 0.97602, -2.57323
-0.33898, 0.72374, -1.94893, 0.28327, 0.51743, -1.71566, 0.07135, 1.00443, -2.49473, -0.09167, 0.97833, -2.57261
-0.32173, 0.74192, -1.95151, 0.28166, 0.52529, -1.70514, 0.07400, 1.00736, -2.49413, -0.09091, 0.98071, -2.57200
-0.30511, 0.75960, -1.95269, 0.28011, 0.53374, -1.69582, 0.07657, 1.01016, -2.49354, -0.08957, 0.98307, -2.57132
-0.28963, 0.77658, -1.95126, 0.27796, 0.54256, -1.68892, 0.07871, 1.01277, -2.49300, -0.08728, 0.98544, -2.57047
-0.27579, 0.79266, -1.94658, 0.27493, 0.55165, -1.68502, 0.08049, 1.01518, -2.49257, -0.08389, 0.98780, -2.56944
-0.26431, 0.80758, -1.93958, 0.27179, 0.56143, -1.68303, 0.08168, 1.01752, -2.49211, -0.08032, 0.99017, -2.56827
-0.25635, 0.82088, -1.93068, 0.26902, 0.57213, -1.68241, 0.08216, 1.01981, -2.49165, -0.07706, 0.99251, -2.56708
-0.25410, 0.83185, -1.92032, 0.26717, 0.58418, -1.68280, 0.08156, 1.02216, -2.49109, -0.07500, 0.99483, -2.56594
-0.25537, 0.84099, -1.90826, 0.26573, 0.59741, -1.68414, 0.08040, 1.02446, -2.49047, -0.07348, 0.99714, -2.56470
-0.25899, 0.84832, -1.89416, 0.26420, 0.61174, -1.68642, 0.07893, 1.02673, -2.48987, -0.07235, 0.99946, -2.56338
-0.26474, 0.85356, -1.87679, 0.26213, 0.62734, -1.68964, 0.07763, 1.02896, -2.48927, -0.07115, 1.00186, -2.56190
-0.27106, 0.85678, -1.85700, 0.25966, 0.64417, -1.69360, 0.07653, 1.03111, -2.48874, -0.07006, 1.00428, -2.56029
-0.27617, 0.85825, -1.83650, 0.25667, 0.66212, -1.69787, 0.07502, 1.03323, -2.48820, -0.06985, 1.00675, -2.55860
-0.27727, 0.85767, -1.81685, 0.25322, 0.68138, -1.70196, 0.07311, 1.03531, -2.48765, -0.07119, 1.00923, -2.55681
-0.27312, 0.85517, -1.79887, 0.24928, 0.70202, -1.70546, 0.07045, 1.03740, -2.48715, -0.07436, 1.01170, -2.55508
-0.26699, 0.85170, -1.78198, 0.24488, 0.72365, -1.70868, 0.06731, 1.03939, -2.48671, -0.07871, 1.01415, -2.55332
-0.26033, 0.84800, -1.76603, 0.24001, 0.74614, -1.71172, 0.06351, 1.04121, -2.48653, -0.08400, 1.01659, -2.55164
-0.25432, 0.84478, -1.75127, 0.23460, 0.76943, -1.71476, 0.05916, 1.04275, -2.48681, -0.09026, 1.01898, -2.55012
-0.24905, 0.84202, -1.73741, 0.22902, 0.79334, -1.71743, 0.05435, 1.04413, -2.48732, -0.09663, 1.02132, -2.54858
-0.24491, 0.83990, -1.72405, 0.22381, 0.81784, -1.71945, 0.04932, 1.04543, -2.48800, -0.10228, 1.02368, -2.54675
-0.24300, 0.83901, -1.71132, 0.21988, 0.84290, -1.72091, 0.04417, 1.04675, -2.48872, -0.10556, 1.02605, -2.54437
-0.24271, 0.83917, -1.69901, 0.21694, 0.86839, -1.72148, 0.03907, 1.04807, -2.48943, -0.10724, 1.02847, -2.54142
-0.24280, 0.83989, -1.68676, 0.21425, 0.89395, -1.72056, 0.03370, 1.04944, -2.49008, -0.10883, 1.03089, -2.53812
-0.24211, 0.84107, -1.67419, 0.21155, 0.91942, -1.71792, 0.02833, 1.05090, -2.49065, -0.11159, 1.03327, -2.53447
-0.24018, 0.84257, -1.66114, 0.20847, 0.94455, -1.71325, 0.02277, 1.05250, -2.49102, -0.11630, 1.03561, -2.53046
-0.23812, 0.84413, -1.64796, 0.20507, 0.96925, -1.70624, 0.01701, 1.05419, -2.49135, -0.12211, 1.03795, -2.52633
-0.23654, 0.84549, -1.63495, 0.20111, 0.99345, -1.69655, 0.01107, 1.05599, -2.49180, -0.12918, 1.04036, -2.52224
-0.23601, 0.84640, -1.62211, 0.19627, 1.01703, -1.68335, 0.00474, 1.05796, -2.49255, -0.13752, 1.04293, -2.51854
-0.23622, 0.84695, -1.60960, 0.19133, 1.03962, -1.66777, -0.00182, 1.05999, -2.49344, -0.14654, 1.04554, -2.51501
-0.23717, 0.84725, -1.59736, 0.18677, 1.06086, -1.65049, -0.00871, 1.06195, -2.49433, -0.15549, 1.04809, -2.51156
-0.23898, 0.84715, -1.58527, 0.18369, 1.08004, -1.63244, -0.01606, 1.06376, -2.49517, -0.16339, 1.05041, -2.50832
-0.24156, 0.84672, -1.57348, 0.18204, 1.09719, -1.61403, -0.02377, 1.06541, -2.49600, -0.17057, 1.05256, -2.50519
-0.24471, 0.84603, -1.56235, 0.18166, 1.11239, -1.59572, -0.03121, 1.06697, -2.49676, -0.17704, 1.05465, -2.50204
-0.24829, 0.84496, -1.55207, 0.18300, 1.12545, -1.57817, -0.03807, 1.06849, -2.49748, -0.18295, 1.05674, -2.49881
-0.25228, 0.84347, -1.54301, 0.18617, 1.13614, -1.56208, -0.04393, 1.06996, -2.49817, -0.18822, 1.05883, -2.49542
-0.25640, 0.84191, -1.53489, 0.18990, 1.14478, -1.54711, -0.04924, 1.07141, -2.49879, -0.19319, 1.06092, -2.49206
-0.26064, 0.84039, -1.52794, 0.19332, 1.15113, -1.53366, -0.05420, 1.07282, -2.49912, -0.19834, 1.06292, -2.48881
-0.26467, 0.83896, -1.52227, 0.19559, 1.15461, -1.52225, -0.05881, 1.07425, -2.49912, -0.20399, 1.06472, -2.48597
-0.26851, 0.83793, -1.51782, 0.19641, 1.15620, -1.51219, -0.06301, 1.07565, -2.49891, -0.20982, 1.06641, -2.48332
-0.27199, 0.83760, -1.51471, 0.19527, 1.15658, -1.50309, -0.06679, 1.07698, -2.49848, -0.21540, 1.06801, -2.48068
-0.27493, 0.83839, -1.51315, 0.19027, 1.15613, -1.49433, -0.06973, 1.07808, -2.49806, -0.22047, 1.06953, -2.47812
-0.27723, 0.84033, -1.51322, 0.18246, 1.15524, -1.48599, -0.07221, 1.07907, -2.49754, -0.22498, 1.07097, -2.47545
-0.27892, 0.84348, -1.51498, 0.17368, 1.15440, -1.47811, -0.07504, 1.08010, -2.49669, -0.22908, 1.07237, -2.47284
-0.27956, 0.84818, -1.51882, 0.16520, 1.15446, -1.47072, -0.07955, 1.08141, -2.49541, -0.23296, 1.07380, -2.47017
-0.27907, 0.85457, -1.52501, 0.15775, 1.15583, -1.46381, -0.08609, 1.08308, -2.49332, -0.23648, 1.07524, -2.46736
-0.27807, 0.86234, -1.53243, 0.15125, 1.15767, -1.45744, -0.09313, 1.08495, -2.49081, -0.23952, 1.07666, -2.46451
-0.27713, 0.87161, -1.54047, 0.14612, 1.15960, -1.45171, -0.10000, 1.08696, -2.48787, -0.24174, 1.07811, -2.46163
-0.27671, 0.88257, -1.54846, 0.14344, 1.16137, -1.44692, -0.10562, 1.08918, -2.48437, -0.24262, 1.07953, -2.45862
-0.27659, 0.89482, -1.55632, 0.14189, 1.16297, -1.44275, -0.11009, 1.09136, -2.48061, -0.24269, 1.08099, -2.45567
-0.27648, 0.90798, -1.56396, 0.14082, 1.16432, -1.43900, -0.11281, 1.09332, -2.47680, -0.24220, 1.08248, -2.45276
-0.27625, 0.92183, -1.57116, 0.13946, 1.16531, -1.43544, -0.11245, 1.09475, -2.47326, -0.24140, 1.08403, -2.45028
-0.27584, 0.93624, -1.57774, 0.13773, 1.16602, -1.43196, -0.10980, 1.09572, -2.46980, -0.24017, 1.08567, -2.44805
-0.27506, 0.95130, -1.58334, 0.13578, 1.16658, -1.42845, -0.10639, 1.09654, -2.46648, -0.23851, 1.08739, -2.44601
-0.27353, 0.96704, -1.58783, 0.13359, 1.16718, -1.42445, -0.10332, 1.09745, -2.46314, -0.23617, 1.08915, -2.44416
-0.27120, 0.98342, -1.59075, 0.13113, 1.16788, -1.41986, -0.10120, 1.09856, -2.45985, -0.23320, 1.09100, -2.44254
-0.26814, 1.00033, -1.59170, 0.12858, 1.16853, -1.41487, -0.09927, 1.09975, -2.45647, -0.22958, 1.09288, -2.44111
-0.26454, 1.01784, -1.58976, 0.12588, 1.16907, -1.40944, -0.09710, 1.10090, -2.45293, -0.22537, 1.09481, -2.43983
-0.26034, 1.03603, -1.58352, 0.12332, 1.16943, -1.40316, -0.09430, 1.10203, -2.44905, -0.22041, 1.09672, -2.43862
-0.25548, 1.05445, -1.57409, 0.12083, 1.16967, -1.39655, -0.09110, 1.10314, -2.44504, -0.21486, 1.09866, -2.43770
-0.25020, 1.07272, -1.56198, 0.11846, 1.16974, -1.38984, -0.08781, 1.10425, -2.44079, -0.20912, 1.10061, -2.43677
-0.24435, 1.09047, -1.54754, 0.11624, 1.16966, -1.38333, -0.08473, 1.10537, -2.43640, -0.20343, 1.10261, -2.43591
-0.23812, 1.10747, -1.53124, 0.11422, 1.16945, -1.37697, -0.08173, 1.10652, -2.43186, -0.19780, 1.10465, -2.43507
