base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.00247, 1.26785, -1.35458, 0.15532, 1.23909, -1.41995, -0.00965, 0.98882, -2.65965, -0.16625, 0.96232, -2.61721
-0.00151, 1.26718, -1.35206, 0.15835, 1.24988, -1.40698, -0.00969, 0.98854, -2.65880, -0.17279, 0.96218, -2.61634
-0.00044, 1.26662, -1.34954, 0.16088, 1.26095, -1.39180, -0.01039, 0.98836, -2.65818, -0.17821, 0.96205, -2.61555
0.00075, 1.26618, -1.34701, 0.16290, 1.27218, -1.37451, -0.01181, 0.98831, -2.65784, -0.18242, 0.96190, -2.61473
0.00192, 1.26581, -1.34449, 0.16454, 1.28286, -1.35655, -0.01317, 0.98829, -2.65774, -0.18548, 0.96177, -2.61389
0.00283, 1.26552, -1.34187, 0.16574, 1.29240, -1.33907, -0.01392, 0.98821, -2.65775, -0.18743, 0.96167, -2.61304
0.00305, 1.26531, -1.33905, 0.16643, 1.29996, -1.32383, -0.01318, 0.98793, -2.65785, -0.18808, 0.96163, -2.61206
0.00301, 1.26517, -1.33617, 0.16642, 1.30600, -1.31059, -0.01174, 0.98758, -2.65796, -0.18798, 0.96165, -2.61108
0.00263, 1.26509, -1.33326, 0.16534, 1.31068, -1.29989, -0.00997, 0.98722, -2.65804, -0.18747, 0.96171, -2.61019
0.00173, 1.26520, -1.33020, 0.16200, 1.31369, -1.29323, -0.00861, 0.98687, -2.65799, -0.18742, 0.96189, -2.60948
0.00066, 1.26537, -1.32712, 0.15714, 1.31535, -1.28979, -0.00742, 0.98658, -2.65788, -0.18753, 0.96212, -2.60896
-0.00058, 1.26562, -1.32427, 0.15160, 1.31616, -1.28794, -0.00669, 0.98633, -2.65769, -0.18767, 0.96238, -2.60864
-0.00180, 1.26599, -1.32160, 0.14595, 1.31651, -1.28640, -0.00671, 0.98614, -2.65757, -0.18771, 0.96267, -2.60873
-0.00291, 1.26642, -1.31938, 0.14054, 1.31658, -1.28456, -0.00763, 0.98602, -2.65747, -0.18770, 0.96297, -2.60925
-0.00405, 1.26684, -1.31745, 0.13564, 1.31629, -1.28266, -0.00870, 0.98591, -2.65743, -0.18745, 0.96325, -2.60991
-0.00527, 1.26728, -1.31576, 0.13154, 1.31571, -1.28058, -0.00958, 0.98570, -2.65746, -0.18691, 0.96348, -2.61073
-0.00655, 1.26760, -1.31456, 0.12900, 1.31476, -1.27797, -0.00956, 0.98533, -2.65763, -0.18576, 0.96360, -2.61152
-0.00796, 1.26788, -1.31360, 0.12740, 1.31363, -1.27532, -0.00906, 0.98489, -2.65782, -0.18426, 0.96367, -2.61237
-0.00957, 1.26815, -1.31292, 0.12619, 1.31239, -1.27309, -0.00858, 0.98446, -2.65806, -0.18256, 0.96371, -2.61319
