base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.20995, 0.93367, -1.50477, 0.14965, 1.03812, -1.30795, 0.10318, 0.93042, -1.72586, 0.08921, 1.02081, -1.72934
-0.21342, 0.93282, -1.50605, 0.14737, 1.03778, -1.30576, 0.10152, 0.93215, -1.72856, 0.08883, 1.01842, -1.72522
-0.21700, 0.93192, -1.50743, 0.14510, 1.03755, -1.30314, 0.09998, 0.93427, -1.73173, 0.08685, 1.01674, -1.72344
-0.22061, 0.93097, -1.50923, 0.14281, 1.03745, -1.30038, 0.09878, 0.93683, -1.73549, 0.08391, 1.01575, -1.72337
-0.22410, 0.92988, -1.51178, 0.14047, 1.03755, -1.29741, 0.09825, 0.93998, -1.74001, 0.08051, 1.01576, -1.72500
-0.22747, 0.92867, -1.51525, 0.13792, 1.03786, -1.29434, 0.09833, 0.94372, -1.74542, 0.07679, 1.01690, -1.72821
-0.23077, 0.92746, -1.51966, 0.13534, 1.03835, -1.29128, 0.09898, 0.94786, -1.75155, 0.07261, 1.01860, -1.73251
-0.23403, 0.92628, -1.52546, 0.13273, 1.03906, -1.28844, 0.10016, 0.95240, -1.75842, 0.06788, 1.02053, -1.73754
-0.23733, 0.92518, -1.53316, 0.13009, 1.04001, -1.28602, 0.10167, 0.95730, -1.76613, 0.06241, 1.02240, -1.74272
-0.24085, 0.92424, -1.54224, 0.12746, 1.04114, -1.28392, 0.10373, 0.96239, -1.77451, 0.05648, 1.02425, -1.74833
-0.24498, 0.92351, -1.55242, 0.12482, 1.04233, -1.28221, 0.10637, 0.96751, -1.78340, 0.05024, 1.02607, -1.75435
-0.25054, 0.92312, -1.56381, 0.12221, 1.04355, -1.28102, 0.10957, 0.97243, -1.79274, 0.04387, 1.02784, -1.76091
-0.25702, 0.92310, -1.57600, 0.11960, 1.04476, -1.28020, 0.11361, 0.97714, -1.80251, 0.03748, 1.02950, -1.76794
-0.26327, 0.92350, -1.58864, 0.11708, 1.04596, -1.27970, 0.11896, 0.98155, -1.81269, 0.03150, 1.03099, -1.77536
-0.26804, 0.92461, -1.60126, 0.11493, 1.04711, -1.27938, 0.12659, 0.98554, -1.82337, 0.02658, 1.03223, -1.78331
-0.27075, 0.92652, -1.61365, 0.11318, 1.04818, -1.27920, 0.13685, 0.98895, -1.83439, 0.02303, 1.03307, -1.79170
-0.27215, 0.92895, -1.62606, 0.11153, 1.04924, -1.27916, 0.14879, 0.99193, -1.84559, 0.02002, 1.03369, -1.80034
-0.27227, 0.93169, -1.63849, 0.11008, 1.05032, -1.27910, 0.16239, 0.99448, -1.85667, 0.01727, 1.03405, -1.80916
-0.27099, 0.93464, -1.65104, 0.10870, 1.05147, -1.27897, 0.17746, 0.99654, -1.86746, 0.01446, 1.03416, -1.81789
-0.26872, 0.93785, -1.66348, 0.10737, 1.05263, -1.27884, 0.19356, 0.99822, -1.87769, 0.01161, 1.03409, -1.82662
-0.26571, 0.94142, -1.67541, 0.10597, 1.05389, -1.27865, 0.21029, 0.99969, -1.88730, 0.00878, 1.03400, -1.83532
-0.26245, 0.94552, -1.68635, 0.10427, 1.05517, -1.27853, 0.22694, 1.00103, -1.89576, 0.00583, 1.03403, -1.84382
-0.25868, 0.95010, -1.69634, 0.10241, 1.05650, -1.27829, 0.24358, 1.00227, -1.90318, 0.00288, 1.03416, -1.85220
-0.25393, 0.95517, -1.70552, 0.10039, 1.05791, -1.27801, 0.26033, 1.00342, -1.90979, -0.00015, 1.03441, -1.86058
