base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
0.68808, 1.08879, -3.43714, -0.43047, 1.20564, -3.98706, -0.92779, 1.07647, -3.35748, 0.51190, 1.13867, -3.96656
0.68380, 1.08953, -3.44127, -0.43135, 1.20576, -3.98670, -0.92322, 1.07774, -3.36232, 0.51270, 1.13843, -3.96572
0.67983, 1.08997, -3.44462, -0.43230, 1.20560, -3.98566, -0.91875, 1.07897, -3.36702, 0.51298, 1.13809, -3.96383
0.67612, 1.09013, -3.44729, -0.43321, 1.20495, -3.98356, -0.91437, 1.08012, -3.37152, 0.51300, 1.13764, -3.96089
0.67259, 1.09005, -3.44940, -0.43403, 1.20363, -3.98004, -0.91036, 1.08113, -3.37554, 0.51279, 1.13707, -3.95682
0.66926, 1.08974, -3.45096, -0.43508, 1.20184, -3.97527, -0.90649, 1.08204, -3.37930, 0.51236, 1.13641, -3.95178
0.66603, 1.08931, -3.45221, -0.43664, 1.19972, -3.96922, -0.90269, 1.08286, -3.38284, 0.51177, 1.13566, -3.94582
0.66305, 1.08873, -3.45301, -0.43899, 1.19734, -3.96172, -0.89897, 1.08347, -3.38592, 0.51102, 1.13480, -3.93868
0.66022, 1.08799, -3.45340, -0.44232, 1.19472, -3.95267, -0.89531, 1.08393, -3.38867, 0.50999, 1.13384, -3.93057
0.65742, 1.08717, -3.45362, -0.44654, 1.19162, -3.94196, -0.89158, 1.08430, -3.39131, 0.50860, 1.13277, -3.92173
0.65461, 1.08626, -3.45365, -0.45200, 1.18786, -3.92899, -0.88779, 1.08459, -3.39384, 0.50666, 1.13160, -3.91230
0.65173, 1.08522, -3.45348, -0.45890, 1.18337, -3.91355, -0.88390, 1.08486, -3.39641, 0.50395, 1.13028, -3.90230
0.64875, 1.08422, -3.45345, -0.46696, 1.17841, -3.89637, -0.87990, 1.08504, -3.39891, 0.50087, 1.12889, -3.89194
0.64558, 1.08325, -3.45363, -0.47619, 1.17332, -3.87807, -0.87574, 1.08532, -3.40168, 0.49734, 1.12741, -3.88125
0.64216, 1.08247, -3.45439, -0.48657, 1.16829, -3.85900, -0.87125, 1.08571, -3.40490, 0.49354, 1.12590, -3.87056
0.63844, 1.08187, -3.45573, -0.49796, 1.16326, -3.83920, -0.86662, 1.08615, -3.40833, 0.48956, 1.12431, -3.85957
0.63432, 1.08145, -3.45774, -0.51034, 1.15827, -3.81879, -0.86195, 1.08662, -3.41187, 0.48554, 1.12262, -3.84811
0.62959, 1.08133, -3.46081, -0.52365, 1.15339, -3.79793, -0.85726, 1.08711, -3.41546, 0.48156, 1.12081, -3.83597
0.62435, 1.08148, -3.46483, -0.53783, 1.14854, -3.77653, -0.85258, 1.08757, -3.41905, 0.47786, 1.11887, -3.82313
0.61899, 1.08163, -3.46897, -0.55303, 1.14341, -3.75395, -0.84808, 1.08792, -3.42235, 0.47440, 1.11674, -3.80941
0.61386, 1.08161, -3.47258, -0.56965, 1.13753, -3.72897, -0.84396, 1.08802, -3.42499, 0.47134, 1.11437, -3.79441
0.60904, 1.08134, -3.47549, -0.58798, 1.13073, -3.70112, -0.84033, 1.08780, -3.42678, 0.46881, 1.11172, -3.77804
0.60457, 1.08091, -3.47782, -0.60730, 1.12388, -3.67265, -0.83704, 1.08742, -3.42812, 0.46694, 1.10883, -3.76064
0.60069, 1.08036, -3.47951, -0.62685, 1.11755, -3.64522, -0.83407, 1.08688, -3.42901, 0.46595, 1.10575, -3.74234
0.59771, 1.07961, -3.48012, -0.64543, 1.11255, -3.62122, -0.83143, 1.08625, -3.42955, 0.46588, 1.10245, -3.72320
0.59517, 1.07884, -3.48037, -0.66301, 1.10860, -3.60017, -0.82895, 1.08563, -3.43004, 0.46704, 1.09894, -3.70314
0.59264, 1.07819, -3.48090, -0.67929, 1.10563, -3.58216, -0.82648, 1.08509, -3.43068, 0.46971, 1.09525, -3.68216
0.58973, 1.07781, -3.48226, -0.69337, 1.10419, -3.56883, -0.82371, 1.08491, -3.43214, 0.47423, 1.09132, -3.65990
0.58643, 1.07771, -3.48452, -0.70553, 1.10385, -3.55919, -0.82067, 1.08496, -3.43420, 0.48067, 1.08721, -3.63657
0.58289, 1.07779, -3.48733, -0.71636, 1.10414, -3.55186, -0.81748, 1.08522, -3.43671, 0.48879, 1.08291, -3.61233
0.57921, 1.07806, -3.49065, -0.72616, 1.10460, -3.54571, -0.81425, 1.08559, -3.43947, 0.49856, 1.07847, -3.58737
0.57534, 1.07855, -3.49458, -0.73495, 1.10494, -3.54011, -0.81101, 1.08601, -3.44231, 0.50995, 1.07394, -3.56183
0.57145, 1.07914, -3.49874, -0.74289, 1.10536, -3.53526, -0.80770, 1.08654, -3.44540, 0.52291, 1.06930, -3.53565
0.56763, 1.07982, -3.50302, -0.75014, 1.10569, -3.53073, -0.80433, 1.08715, -3.44865, 0.53739, 1.06460, -3.50892
0.56394, 1.08052, -3.50725, -0.75692, 1.10573, -3.52593, -0.80090, 1.08782, -3.45207, 0.55324, 1.05987, -3.48181
0.56042, 1.08120, -3.51131, -0.76292, 1.10593, -3.52190, -0.79736, 1.08864, -3.45583, 0.57060, 1.05509, -3.45409
0.55701, 1.08188, -3.51531, -0.76797, 1.10645, -3.51907, -0.79387, 1.08949, -3.45961, 0.58946, 1.05030, -3.42581
0.55372, 1.08263, -3.51934, -0.77176, 1.10760, -3.51812, -0.79041, 1.09037, -3.46342, 0.60963, 1.04559, -3.39728
0.55053, 1.08335, -3.52325, -0.77432, 1.10958, -3.51943, -0.78702, 1.09134, -3.46735, 0.63113, 1.04090, -3.36830
0.54763, 1.08403, -3.52685, -0.77579, 1.11240, -3.52296, -0.78379, 1.09228, -3.47113, 0.65381, 1.03626, -3.33904
0.54503, 1.08465, -3.53009, -0.77603, 1.11651, -3.52964, -0.78092, 1.09317, -3.47458, 0.67744, 1.03171, -3.30970
0.54285, 1.08519, -3.53282, -0.77524, 1.12209, -3.53965, -0.77844, 1.09396, -3.47760, 0.70174, 1.02726, -3.28056
0.54096, 1.08563, -3.53513, -0.77404, 1.12841, -3.55124, -0.77620, 1.09477, -3.48048, 0.72692, 1.02285, -3.25120
0.53932, 1.08592, -3.53692, -0.77293, 1.13493, -3.56315, -0.77425, 1.09558, -3.48318, 0.75332, 1.01840, -3.22112
0.53798, 1.08606, -3.53818, -0.77226, 1.14121, -3.57441, -0.77255, 1.09637, -3.48568, 0.78102, 1.01394, -3.19021
0.53683, 1.08609, -3.53908, -0.77165, 1.14721, -3.58523, -0.77101, 1.09725, -3.48823, 0.81000, 1.00947, -3.15844
0.53575, 1.08614, -3.53998, -0.77058, 1.15271, -3.59554, -0.76941, 1.09824, -3.49101, 0.83980, 1.00509, -3.12631
0.53458, 1.08635, -3.54129, -0.76824, 1.15732, -3.60518, -0.76762, 1.09935, -3.49413, 0.86979, 1.00088, -3.09443
0.53337, 1.08667, -3.54287, -0.76489, 1.16103, -3.61400, -0.76564, 1.10066, -3.49772, 0.90011, 0.99682, -3.06256
0.53218, 1.08708, -3.54462, -0.76100, 1.16390, -3.62175, -0.76349, 1.10214, -3.50173, 0.93007, 0.99298, -3.03137
0.53098, 1.08755, -3.54654, -0.75671, 1.16561, -3.62785, -0.76105, 1.10392, -3.50647, 0.95910, 0.98942, -3.00136
0.52982, 1.08810, -3.54857, -0.75226, 1.16609, -3.63195, -0.75831, 1.10604, -3.51198, 0.98671, 0.98620, -2.97297
0.52858, 1.08869, -3.55078, -0.74799, 1.16610, -3.63519, -0.75554, 1.10831, -3.51780, 1.01305, 0.98327, -2.94598
0.52724, 1.08933, -3.55315, -0.74442, 1.16624, -3.63825, -0.75290, 1.11060, -3.52356, 1.03819, 0.98063, -2.92029
0.52568, 1.09005, -3.55587, -0.74231, 1.16723, -3.64186, -0.75039, 1.11286, -3.52919, 1.06184, 0.97833, -2.89616
0.52398, 1.09080, -3.55878, -0.74101, 1.16859, -3.64556, -0.74801, 1.11506, -3.53463, 1.08348, 0.97640, -2.87413
0.52227, 1.09151, -3.56159, -0.74029, 1.17006, -3.64905, -0.74584, 1.11717, -3.53982, 1.10349, 0.97481, -2.85377
0.52061, 1.09219, -3.56436, -0.73977, 1.17135, -3.65187, -0.74383, 1.11902, -3.54448, 1.12041, 0.97369, -2.83662
0.51903, 1.09280, -3.56690, -0.73939, 1.17254, -3.65427, -0.74196, 1.12072, -3.54882, 1.13437, 0.97303, -2.82253
0.51756, 1.09328, -3.56911, -0.73907, 1.17367, -3.65649, -0.74031, 1.12236, -3.55295, 1.14505, 0.97283, -2.81183
0.51637, 1.09363, -3.57083, -0.73850, 1.17465, -3.65855, -0.73885, 1.12397, -3.55689, 1.15079, 0.97324, -2.80624
0.51549, 1.09377, -3.57189, -0.73758, 1.17558, -3.66077, -0.73761, 1.12568, -3.56089, 1.15067, 0.97431, -2.80675
0.51470, 1.09386, -3.57277, -0.73653, 1.17658, -3.66321, -0.73652, 1.12742, -3.56487, 1.14713, 0.97573, -2.81080
0.51391, 1.09402, -3.57379, -0.73543, 1.17768, -3.66592, -0.73559, 1.12912, -3.56867, 1.14055, 0.97734, -2.81803
0.51300, 1.09436, -3.57522, -0.73441, 1.17908, -3.66921, -0.73477, 1.13082, -3.57233, 1.13192, 0.97900, -2.82740
