base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
0.01411, 1.16611, -1.51199, 0.09819, 0.75217, -1.82904, 0.12691, 0.84651, -1.81051, 0.11975, 1.19914, -1.60239
0.01210, 1.16914, -1.51094, 0.09501, 0.75824, -1.83203, 0.12383, 0.85131, -1.80955, 0.11209, 1.18896, -1.61706
0.00953, 1.17133, -1.51152, 0.08988, 0.76523, -1.83543, 0.12051, 0.85627, -1.80867, 0.10522, 1.17777, -1.63240
0.00657, 1.17234, -1.51469, 0.08404, 0.77255, -1.83891, 0.11724, 0.86131, -1.80775, 0.09908, 1.16623, -1.64790
0.00322, 1.17158, -1.52244, 0.07784, 0.77980, -1.84220, 0.11431, 0.86649, -1.80689, 0.09405, 1.15522, -1.66317
-0.00022, 1.16868, -1.53555, 0.07180, 0.78677, -1.84521, 0.11198, 0.87175, -1.80594, 0.09035, 1.14518, -1.67814
-0.00366, 1.16406, -1.55203, 0.06600, 0.79374, -1.84805, 0.10975, 0.87707, -1.80497, 0.08662, 1.13544, -1.69301
-0.00658, 1.15764, -1.57092, 0.06079, 0.80082, -1.85084, 0.10739, 0.88244, -1.80383, 0.08198, 1.12574, -1.70778
-0.00835, 1.14896, -1.59145, 0.05669, 0.80817, -1.85367, 0.10452, 0.88784, -1.80257, 0.07511, 1.11604, -1.72251
-0.00965, 1.13893, -1.61298, 0.05342, 0.81561, -1.85641, 0.10156, 0.89322, -1.80108, 0.06703, 1.10605, -1.73713
-0.01104, 1.12829, -1.63480, 0.05072, 0.82300, -1.85894, 0.09873, 0.89852, -1.79933, 0.05815, 1.09564, -1.75167
-0.01313, 1.11799, -1.65586, 0.04858, 0.83005, -1.86124, 0.09631, 0.90359, -1.79715, 0.04848, 1.08446, -1.76603
-0.01570, 1.10803, -1.67675, 0.04698, 0.83690, -1.86310, 0.09437, 0.90857, -1.79463, 0.03853, 1.07261, -1.78012
-0.01848, 1.09792, -1.69865, 0.04583, 0.84374, -1.86443, 0.09261, 0.91359, -1.79183, 0.02880, 1.06013, -1.79341
-0.02114, 1.08759, -1.72270, 0.04520, 0.85073, -1.86468, 0.09106, 0.91900, -1.78881, 0.02003, 1.04704, -1.80550
-0.02373, 1.07684, -1.74948, 0.04491, 0.85798, -1.86394, 0.08946, 0.92480, -1.78561, 0.01251, 1.03325, -1.81603
-0.02629, 1.06520, -1.77734, 0.04492, 0.86533, -1.86230, 0.08784, 0.93087, -1.78210, 0.00594, 1.01917, -1.82528
-0.02862, 1.05221, -1.80528, 0.04517, 0.87267, -1.85986, 0.08607, 0.93704, -1.77815, 0.00035, 1.00504, -1.83335
-0.03057, 1.03720, -1.83236, 0.04561, 0.87992, -1.85669, 0.08408, 0.94318, -1.77361, -0.00410, 0.99114, -1.84035
-0.03248, 1.02081, -1.85815, 0.04604, 0.88711, -1.85287, 0.08183, 0.94937, -1.76867, -0.00785, 0.97740, -1.84645
-0.03453, 1.00332, -1.88254, 0.04646, 0.89421, -1.84850, 0.07948, 0.95568, -1.76344, -0.01122, 0.96379, -1.85181
-0.03711, 0.98476, -1.90533, 0.04646, 0.90117, -1.84384, 0.07701, 0.96213, -1.75819, -0.01473, 0.95028, -1.85678
-0.04016, 0.96545, -1.92622, 0.04612, 0.90805, -1.83883, 0.07429, 0.96872, -1.75287, -0.01824, 0.93691, -1.86125
-0.04342, 0.94581, -1.94518, 0.04599, 0.91484, -1.83341, 0.07148, 0.97539, -1.74728, -0.02125, 0.92366, -1.86504
-0.04693, 0.92620, -1.96236, 0.04648, 0.92161, -1.82737, 0.06845, 0.98208, -1.74116, -0.02335, 0.91054, -1.86793
-0.05059, 0.90686, -1.97796, 0.04788, 0.92832, -1.82068, 0.06530, 0.98879, -1.73448, -0.02430, 0.89756, -1.86999
-0.05419, 0.88794, -1.99143, 0.04956, 0.93503, -1.81338, 0.06199, 0.99555, -1.72746, -0.02448, 0.88477, -1.87129
-0.05776, 0.86967, -2.00283, 0.05121, 0.94176, -1.80561, 0.05862, 1.00241, -1.72037, -0.02405, 0.87218, -1.87201
-0.06146, 0.85239, -2.01223, 0.05245, 0.94859, -1.79739, 0.05517, 1.00938, -1.71343, -0.02319, 0.85975, -1.87231
