base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.26224, 1.34056, -1.37166, 0.09777, 1.34358, -1.29148, -0.00649, 0.97226, -2.70118, -0.06514, 0.94191, -2.64052
-0.26231, 1.34019, -1.37205, 0.09744, 1.34318, -1.29192, -0.00578, 0.97228, -2.70042, -0.06536, 0.94197, -2.63995
-0.26224, 1.33979, -1.37240, 0.09716, 1.34276, -1.29233, -0.00505, 0.97229, -2.69956, -0.06560, 0.94198, -2.63930
-0.26219, 1.33934, -1.37279, 0.09672, 1.34230, -1.29275, -0.00423, 0.97228, -2.69860, -0.06596, 0.94200, -2.63864
-0.26214, 1.33878, -1.37338, 0.09632, 1.34177, -1.29336, -0.00325, 0.97223, -2.69758, -0.06658, 0.94192, -2.63786
-0.26210, 1.33817, -1.37410, 0.09591, 1.34117, -1.29410, -0.00221, 0.97215, -2.69639, -0.06747, 0.94178, -2.63705
-0.26218, 1.33758, -1.37491, 0.09533, 1.34055, -1.29495, -0.00126, 0.97204, -2.69521, -0.06842, 0.94163, -2.63625
-0.26248, 1.33705, -1.37571, 0.09471, 1.33989, -1.29584, -0.00033, 0.97190, -2.69401, -0.06948, 0.94147, -2.63546
-0.26300, 1.33665, -1.37659, 0.09399, 1.33925, -1.29687, 0.00051, 0.97175, -2.69289, -0.07050, 0.94129, -2.63474
-0.26380, 1.33628, -1.37746, 0.09317, 1.33860, -1.29795, 0.00125, 0.97160, -2.69175, -0.07155, 0.94114, -2.63404
-0.26472, 1.33594, -1.37826, 0.09230, 1.33790, -1.29890, 0.00199, 0.97147, -2.69059, -0.07278, 0.94102, -2.63337
-0.26605, 1.33561, -1.37894, 0.09128, 1.33720, -1.29980, 0.00261, 0.97135, -2.68938, -0.07429, 0.94098, -2.63279
-0.26745, 1.33524, -1.37965, 0.09032, 1.33651, -1.30061, 0.00329, 0.97125, -2.68811, -0.07577, 0.94095, -2.63216
-0.26898, 1.33484, -1.38034, 0.08930, 1.33576, -1.30131, 0.00404, 0.97117, -2.68681, -0.07739, 0.94097, -2.63154
-0.27056, 1.33428, -1.38108, 0.08832, 1.33500, -1.30187, 0.00507, 0.97111, -2.68538, -0.07905, 0.94100, -2.63076
-0.27228, 1.33367, -1.38184, 0.08733, 1.33423, -1.30234, 0.00614, 0.97105, -2.68391, -0.08079, 0.94105, -2.62995
-0.27400, 1.33287, -1.38289, 0.08634, 1.33346, -1.30272, 0.00736, 0.97099, -2.68243, -0.08254, 0.94107, -2.62905
-0.27562, 1.33193, -1.38414, 0.08535, 1.33279, -1.30300, 0.00863, 0.97090, -2.68100, -0.08431, 0.94103, -2.62813
-0.27731, 1.33077, -1.38587, 0.08430, 1.33221, -1.30334, 0.01005, 0.97076, -2.67959, -0.08605, 0.94089, -2.62714
-0.27894, 1.32942, -1.38800, 0.08317, 1.33165, -1.30361, 0.01135, 0.97062, -2.67823, -0.08777, 0.94075, -2.62617
-0.28050, 1.32783, -1.39063, 0.08187, 1.33106, -1.30396, 0.01269, 0.97045, -2.67679, -0.08947, 0.94063, -2.62527
-0.28196, 1.32595, -1.39391, 0.08046, 1.33041, -1.30437, 0.01383, 0.97033, -2.67540, -0.09102, 0.94058, -2.62451
-0.28342, 1.32373, -1.39787, 0.07885, 1.32970, -1.30488, 0.01486, 0.97020, -2.67392, -0.09244, 0.94059, -2.62378
-0.28475, 1.32105, -1.40276, 0.07719, 1.32896, -1.30542, 0.01565, 0.97006, -2.67235, -0.09389, 0.94064, -2.62311
-0.28612, 1.31770, -1.40905, 0.07530, 1.32809, -1.30608, 0.01635, 0.96984, -2.67055, -0.09527, 0.94079, -2.62252
-0.28750, 1.31370, -1.41660, 0.07340, 1.32719, -1.30677, 0.01684, 0.96962, -2.66863, -0.09658, 0.94094, -2.62190
-0.28900, 1.30907, -1.42503, 0.07152, 1.32626, -1.30752, 0.01740, 0.96938, -2.66661, -0.09788, 0.94110, -2.62123
-0.29135, 1.30378, -1.43414, 0.06959, 1.32531, -1.30828, 0.01796, 0.96914, -2.66451, -0.09917, 0.94125, -2.62047
-0.29437, 1.29780, -1.44386, 0.06781, 1.32435, -1.30902, 0.01874, 0.96895, -2.66243, -0.10068, 0.94133, -2.61950
-0.29674, 1.29115, -1.45425, 0.06613, 1.32341, -1.30987, 0.01966, 0.96874, -2.66032, -0.10211, 0.94137, -2.61846
-0.29722, 1.28382, -1.46536, 0.06454, 1.32249, -1.31079, 0.02058, 0.96852, -2.65820, -0.10349, 0.94137, -2.61732
-0.29397, 1.27559, -1.47758, 0.06314, 1.32160, -1.31186, 0.02171, 0.96823, -2.65613, -0.10465, 0.94130, -2.61610
-0.28886, 1.26678, -1.49009, 0.06178, 1.32072, -1.31320, 0.02291, 0.96787, -2.65401, -0.10570, 0.94119, -2.61491
-0.28274, 1.25771, -1.50215, 0.06038, 1.31984, -1.31470, 0.02395, 0.96745, -2.65192, -0.10670, 0.94107, -2.61378
-0.27646, 1.24884, -1.51286, 0.05890, 1.31901, -1.31647, 0.02484, 0.96693, -2.64987, -0.10751, 0.94096, -2.61287
-0.27011, 1.24006, -1.52251, 0.05718, 1.31820, -1.31848, 0.02552, 0.96633, -2.64784, -0.10826, 0.94089, -2.61216
-0.26350, 1.23105, -1.53167, 0.05544, 1.31733, -1.32059, 0.02618, 0.96571, -2.64585, -0.10892, 0.94083, -2.61153
-0.25654, 1.22153, -1.54085, 0.05369, 1.31643, -1.32280, 0.02695, 0.96515, -2.64398, -0.10944, 0.94081, -2.61088
-0.24936, 1.21146, -1.55011, 0.05171, 1.31543, -1.32500, 0.02774, 0.96468, -2.64226, -0.10995, 0.94087, -2.61030
-0.24206, 1.20090, -1.55923, 0.04983, 1.31436, -1.32721, 0.02862, 0.96422, -2.64061, -0.11036, 0.94093, -2.60964
-0.23495, 1.18990, -1.56829, 0.04789, 1.31316, -1.32958, 0.02946, 0.96369, -2.63896, -0.11089, 0.94098, -2.60894
-0.22830, 1.17842, -1.57723, 0.04593, 1.31178, -1.33208, 0.03043, 0.96306, -2.63727, -0.11153, 0.94099, -2.60813
-0.22174, 1.16657, -1.58596, 0.04394, 1.31031, -1.33477, 0.03128, 0.96233, -2.63559, -0.11223, 0.94096, -2.60721
-0.21519, 1.15454, -1.59425, 0.04182, 1.30874, -1.33755, 0.03160, 0.96152, -2.63390, -0.11328, 0.94092, -2.60632
-0.20834, 1.14239, -1.60208, 0.03942, 1.30707, -1.34071, 0.03114, 0.96061, -2.63223, -0.11476, 0.94084, -2.60541
-0.20123, 1.13015, -1.60946, 0.03693, 1.30535, -1.34400, 0.02987, 0.95963, -2.63053, -0.11655, 0.94074, -2.60454
-0.19434, 1.11780, -1.61634, 0.03419, 1.30356, -1.34758, 0.02763, 0.95863, -2.62901, -0.11826, 0.94067, -2.60370
-0.18771, 1.10525, -1.62287, 0.03137, 1.30172, -1.35125, 0.02406, 0.95767, -2.62767, -0.11956, 0.94064, -2.60280
-0.18147, 1.09254, -1.62906, 0.02842, 1.29982, -1.35501, 0.01904, 0.95678, -2.62660, -0.12032, 0.94068, -2.60189
-0.17564, 1.07982, -1.63457, 0.02544, 1.29792, -1.35878, 0.01298, 0.95593, -2.62577, -0.12092, 0.94079, -2.60099
-0.17046, 1.06718, -1.63931, 0.02239, 1.29601, -1.36249, 0.00602, 0.95509, -2.62507, -0.12178, 0.94100, -2.60008
-0.16592, 1.05482, -1.64314, 0.01947, 1.29418, -1.36588, -0.00174, 0.95424, -2.62465, -0.12321, 0.94133, -2.59920
-0.16186, 1.04266, -1.64586, 0.01654, 1.29240, -1.36903, -0.00999, 0.95348, -2.62435, -0.12494, 0.94173, -2.59827
-0.15841, 1.03073, -1.64736, 0.01365, 1.29065, -1.37212, -0.01854, 0.95287, -2.62402, -0.12693, 0.94218, -2.59739
-0.15545, 1.01898, -1.64733, 0.01092, 1.28898, -1.37508, -0.02697, 0.95255, -2.62363, -0.12912, 0.94259, -2.59645
-0.15292, 1.00748, -1.64579, 0.00830, 1.28737, -1.37803, -0.03531, 0.95250, -2.62313, -0.13127, 0.94296, -2.59547
-0.15079, 0.99625, -1.64305, 0.00578, 1.28576, -1.38108, -0.04388, 0.95269, -2.62270, -0.13330, 0.94331, -2.59447
-0.14890, 0.98538, -1.63904, 0.00344, 1.28415, -1.38418, -0.05290, 0.95318, -2.62246, -0.13469, 0.94359, -2.59336
-0.14729, 0.97492, -1.63386, 0.00117, 1.28245, -1.38754, -0.06256, 0.95396, -2.62235, -0.13526, 0.94384, -2.59218
-0.14597, 0.96491, -1.62758, -0.00102, 1.28077, -1.39096, -0.07201, 0.95491, -2.62235, -0.13573, 0.94405, -2.59096
-0.14525, 0.95543, -1.62019, -0.00315, 1.27913, -1.39434, -0.08073, 0.95590, -2.62245, -0.13629, 0.94429, -2.58975
-0.14541, 0.94664, -1.61131, -0.00545, 1.27753, -1.39768, -0.08826, 0.95686, -2.62271, -0.13765, 0.94461, -2.58863
-0.14596, 0.93857, -1.60150, -0.00778, 1.27601, -1.40092, -0.09425, 0.95778, -2.62291, -0.13931, 0.94498, -2.58755
-0.14656, 0.93122, -1.59107, -0.00999, 1.27460, -1.40401, -0.09813, 0.95864, -2.62282, -0.14105, 0.94542, -2.58653
